"","SOCMAIN","SOC2KM","from","to"
"64",102,2441,0.505598373846024,0.571830270178708
"65",102,3121,0.571830270178708,0.578843059202168
"66",102,3231,0.578843059202168,0.586753620733463
"67",102,3232,0.586753620733463,0.608723638519522
"68",102,3433,0.608723638519522,0.615414584568476
"69",102,3534,0.615414584568476,0.620953671550775
"70",102,3539,0.620953671550775,0.635724570170238
"71",102,3552,0.635724570170238,0.644211061234861
"72",102,3561,0.644211061234861,0.705462861014652
"73",102,3562,0.705462861014652,0.712729736596934
"74",102,3563,0.712729736596934,0.719776403828237
"75",102,3564,0.719776403828237,0.727754721775218
"76",102,3566,0.727754721775218,0.734733632590836
"77",102,3567,0.734733632590836,0.743745235877022
"78",102,4111,0.743745235877022,0.781705767764885
"79",102,4112,0.781705767764885,0.807825866011688
"80",102,4113,0.807825866011688,0.918827814008639
"81",102,4114,0.918827814008639,0.926314897941899
"82",102,4122,0.926314897941899,0.979927161853138
"83",102,4134,0.979927161853138,0.98671974252562
"84",102,4150,0.98671974252562,0.994528669433387
"85",102,9241,0.994528669433387,1
"86",103,1111,0,0.014411422878964
"87",103,1113,0.014411422878964,0.0355304665449112
"88",103,1121,0.0355304665449112,0.0514693674248713
"89",103,1132,0.0514693674248713,0.0622945376058443
"90",103,1134,0.0622945376058443,0.0818196911837955
"91",103,1135,0.0818196911837955,0.122032209862195
"92",103,1136,0.122032209862195,0.158127179146605
"93",103,1141,0.158127179146605,0.174696994853063
"94",103,1142,0.174696994853063,0.189108417732027
"95",103,1152,0.189108417732027,0.204549227959489
"96",103,1163,0.204549227959489,0.221749958492446
"97",103,1171,0.221749958492446,0.236327411588909
"98",103,1173,0.236327411588909,0.250074713597875
"99",103,1181,0.250074713597875,0.297592561846256
"100",103,1184,0.297592561846256,0.313996347335215
"101",103,1231,0.313996347335215,0.322795948862693
"102",103,2132,0.322795948862693,0.335281421218662
"103",103,2329,0.335281421218662,0.346969948530633
"104",103,2423,0.346969948530633,0.37197409928607
"105",103,2441,0.37197409928607,0.441939232940395
"106",103,3535,0.441939232940395,0.452365930599369
"107",103,3537,0.452365930599369,0.463224306823842
"108",103,3541,0.463224306823842,0.478598704964304
"109",103,3561,0.478598704964304,0.797376722563507
"110",103,3562,0.797376722563507,0.809895400962975
"111",103,3566,0.809895400962975,0.822878963971443
"112",103,3568,0.822878963971443,0.837589241241906
"113",103,4111,0.837589241241906,0.934683712435663
"114",103,4112,0.934683712435663,0.952648181969118
"115",103,4113,0.952648181969118,0.978382865681554
"116",103,9249,0.978382865681554,1
"117",110,1111,0,0.00187678795940307
"118",110,1112,0.00187678795940307,0.00748893059528799
"119",110,1121,0.00748893059528799,0.557229885266911
"120",110,1122,0.557229885266911,0.596691022393907
"121",110,1123,0.596691022393907,0.59831271296077
"122",110,1132,0.59831271296077,0.632204223683971
"123",110,1134,0.632204223683971,0.637306171534775
"124",110,1135,0.637306171534775,0.640002915398772
"125",110,1136,0.640002915398772,0.667043239008036
"126",110,1137,0.667043239008036,0.694047120132651
"127",110,1141,0.694047120132651,0.711612397733277
"128",110,1142,0.711612397733277,0.714139076668914
"129",110,1151,0.714139076668914,0.726772471347096
"130",110,1152,0.726772471347096,0.742600657179473
"131",110,1161,0.742600657179473,0.744762911268624
"132",110,1163,0.744762911268624,0.76025096724428
"133",110,1181,0.76025096724428,0.763476127135681
"134",110,1184,0.763476127135681,0.76817113390791
"135",110,1185,0.76817113390791,0.770321240502177
"136",110,1211,0.770321240502177,0.772738591983868
"137",110,1231,0.772738591983868,0.778053120995123
"138",110,1232,0.778053120995123,0.785493461610879
"139",110,1235,0.785493461610879,0.790722958157954
"140",110,1239,0.790722958157954,0.799110803374574
"141",110,2111,0.799110803374574,0.801364163675346
"142",110,2123,0.801364163675346,0.807668713519554
"143",110,2126,0.807668713519554,0.810110359991011
"144",110,2127,0.810110359991011,0.815661765152481
"145",110,2128,0.815661765152481,0.823709480512381
"146",110,2129,0.823709480512381,0.828866092090159
"147",110,2317,0.828866092090159,0.831344181046264
"148",110,2321,0.831344181046264,0.833883007476783
"149",110,2423,0.833883007476783,0.836689078794726
"150",110,2431,0.836689078794726,0.838942439095498
"151",110,2434,0.838942439095498,0.84179102664553
"152",110,3114,0.84179102664553,0.844609245458355
"153",110,3119,0.844609245458355,0.85449730629301
"154",110,3131,0.85449730629301,0.859629622881021
"155",110,3132,0.859629622881021,0.862150228069216
"156",110,3319,0.862150228069216,0.864646538267646
"157",110,3541,0.864646538267646,0.867780591947426
"158",110,3542,0.867780591947426,0.870598810760251
"159",110,3543,0.870598810760251,0.876690779444009
"160",110,3561,0.876690779444009,0.878640452372709
"161",110,4131,0.878640452372709,0.889008339255237
"162",110,4142,0.889008339255237,0.891516796948549
"163",110,5213,0.891516796948549,0.894164950833015
"164",110,5223,0.894164950833015,0.907806587586475
"165",110,5224,0.907806587586475,0.910296824037463
"166",110,5231,0.910296824037463,0.912932830427045
"167",110,5241,0.912932830427045,0.915787491724519
"168",110,5249,0.915787491724519,0.919832607520514
"169",110,5315,0.919832607520514,0.922201369022673
"170",110,5319,0.922201369022673,0.927971429092036
"171",110,5322,0.927971429092036,0.930820016642068
"172",110,5419,0.930820016642068,0.933109819427489
"173",110,5422,0.933109819427489,0.935247778526873
"174",110,5423,0.935247778526873,0.938078144834582
"175",110,5424,0.938078144834582,0.940811331183227
"176",110,5431,0.940811331183227,0.943416968835602
"177",110,5492,0.943416968835602,0.946654276221886
"178",110,5499,0.946654276221886,0.948883341532892
"179",110,7212,0.948883341532892,0.953985289383697
"180",110,8113,0.953985289383697,0.95802433143225
"181",110,8114,0.95802433143225,0.961042983910643
"182",110,8116,0.961042983910643,0.963873350218351
"183",110,8117,0.963873350218351,0.966144931761448
"184",110,8125,0.966144931761448,0.968683758191967
"185",110,8126,0.968683758191967,0.971003929714595
"186",110,8131,0.971003929714595,0.973324101237222
"187",110,8132,0.973324101237222,0.975650346507292
"188",110,8133,0.975650346507292,0.981778757675698
"189",110,8137,0.981778757675698,0.983698061867191
"190",110,8139,0.983698061867191,0.988951853404032
"191",110,8212,0.988951853404032,0.991763998469416
"192",110,8218,0.991763998469416,0.994169202456224
"193",110,9149,0.994169202456224,1
"194",111,1112,0,0.0280836835485751
"195",111,1121,0.0280836835485751,0.09311635326237
"196",111,1122,0.09311635326237,0.698272953158072
"197",111,1123,0.698272953158072,0.705665817969876
"198",111,1132,0.705665817969876,0.733350716279641
"199",111,1135,0.733350716279641,0.737476609711954
"200",111,1136,0.737476609711954,0.749562870026688
"201",111,1137,0.749562870026688,0.757170465351698
"202",111,1152,0.757170465351698,0.770698487683671
"203",111,1163,0.770698487683671,0.777983987238872
"204",111,1212,0.777983987238872,0.785192797325071
"205",111,1231,0.785192797325071,0.79637412190558
"206",111,1239,0.79637412190558,0.827924169453051
"207",111,2132,0.827924169453051,0.834458112212031
"208",111,2434,0.834458112212031,0.842495168563453
"209",111,3114,0.842495168563453,0.856053866683027
"210",111,3121,0.856053866683027,0.863554096751434
"211",111,3123,0.863554096751434,0.870747568943833
"212",111,3567,0.870747568943833,0.877956379030032
"213",111,4113,0.877956379030032,0.884965796496825
"214",111,4150,0.884965796496825,0.893079542317249
"215",111,5113,0.893079542317249,0.899874229270837
"216",111,5223,0.899874229270837,0.911883800116568
"217",111,5241,0.911883800116568,0.926531488695972
"218",111,5314,0.926531488695972,0.933188134605356
"219",111,5315,0.933188134605356,0.941056474124973
"220",111,5319,0.941056474124973,0.959584649835885
"221",111,5321,0.959584649835885,0.965505076842848
"222",111,5322,0.965505076842848,0.972514494309641
"223",111,6232,0.972514494309641,0.986702046075033
"224",111,8149,0.986702046075033,1
"225",112,1122,0,1
"226",113,1121,0,0.185745477230193
"227",113,1123,0.185745477230193,0.433718028696195
"228",113,1132,0.433718028696195,0.627573300062383
"229",113,1151,0.627573300062383,0.694791016843419
"230",113,1239,0.694791016843419,0.766063630692452
"231",113,2123,0.766063630692452,0.824235807860262
"232",113,2128,0.824235807860262,0.888178415470992
"233",113,4150,0.888178415470992,0.941983780411728
"234",113,8114,0.941983780411728,1
"235",120,1112,0,0.0294695481335953
"236",120,1121,0.0294695481335953,0.0614815670865596
"237",120,1122,0.0614815670865596,0.0748150930313186
"238",120,1131,0.0748150930313186,0.641901652606033
"239",120,1132,0.641901652606033,0.666705188951809
"240",120,1142,0.666705188951809,0.677698486074194
"241",120,1151,0.677698486074194,0.723246272968913
