"","SC102KM","SOC10M","from","to","SOC2KM"
"718",4112,4112,0.0129844264335703,0.984603468783713,NA
"719",4112,4122,0.984603468783713,0.98529279964593,NA
"720",4112,4131,0.98529279964593,0.98729993637797,NA
"721",4112,4138,0.98729993637797,0.995698044314127,NA
"722",4112,4161,0.995698044314127,0.996398439877182,NA
"723",4112,4162,0.996398439877182,0.99930403031728,NA
"724",4112,7220,0.99930403031728,1,NA
"725",4113,1115,0,0.00330007546335399,NA
"726",4113,2432,0.00330007546335399,0.0038721571077609,NA
"727",4113,3234,0.0038721571077609,0.00636746153875821,NA
"728",4113,3239,0.00636746153875821,0.00816341222917719,NA
"729",4113,3520,0.00816341222917719,0.0111536637008412,NA
"730",4113,3539,0.0111536637008412,0.0119880029979649,NA
"731",4113,3561,0.0119880029979649,0.050122065510419,NA
"732",4113,3565,0.050122065510419,0.0526109420577712,NA
"733",4113,4113,0.0526109420577712,0.874967378490502,NA
"734",4113,4122,0.874967378490502,0.875657733193977,NA
"735",4113,4124,0.875657733193977,0.878338160673951,NA
"736",4113,4129,0.878338160673951,0.897152576102928,NA
"737",4113,4131,0.897152576102928,0.90161738408276,NA
"738",4113,4138,0.90161738408276,0.913271137131184,NA
"739",4113,4159,0.913271137131184,0.972480944538934,NA
"740",4113,4162,0.972480944538934,0.982171621922169,NA
"741",4113,4215,0.982171621922169,0.982990534298544,NA
"742",4113,4216,0.982990534298544,0.986378028979471,NA
"743",4113,4217,0.986378028979471,0.996144555389716,NA
"744",4113,7219,0.996144555389716,0.999539763531016,NA
"745",4113,9219,0.999539763531016,1,NA
"746",4114,3234,0,0.00901609713568801,NA
"747",4114,3539,0.00901609713568801,0.0169732281455334,NA
"748",4114,4114,0.0169732281455334,0.988980798264827,NA
"749",4114,4138,0.988980798264827,0.991877006825866,NA
"750",4114,4161,0.991877006825866,1,NA
"751",4121,4121,0,0.954205180716223,NA
"752",4121,4129,0.954205180716223,0.966347484363757,NA
"753",4121,4159,0.966347484363757,0.969716887142304,NA
"754",4121,4162,0.969716887142304,1,NA
"755",4122,3537,0,0.00092074778974782,NA
"756",4122,3538,0.00092074778974782,0.00211357847761673,NA
"757",4122,4122,0.00211357847761673,0.703080508125647,NA
"758",4122,4124,0.703080508125647,0.78893975795698,NA
"759",4122,4129,0.78893975795698,0.96778442173716,NA
"760",4122,4131,0.96778442173716,0.970065102454862,NA
"761",4122,4133,0.970065102454862,0.970776370491189,NA
"762",4122,4138,0.970776370491189,0.971457781643121,NA
"763",4122,4151,0.971457781643121,0.985334972572599,NA
"764",4122,4159,0.985334972572599,0.991227373176864,NA
"765",4122,4162,0.991227373176864,0.998879403709862,NA
"766",4122,4214,0.998879403709862,0.999508324532776,NA
"767",4122,4215,0.999508324532776,0.999757292423623,NA
"768",4122,9219,0.999757292423623,1,NA
"769",4123,4123,0,0.824053448656172,NA
"770",4123,4129,0.824053448656172,0.997509933857133,NA
"771",4123,4159,0.997509933857133,0.998176333342654,NA
"772",4123,4216,0.998176333342654,1,NA
"773",4131,2419,0,0.00488141610374242,NA
"774",4131,3539,0.00488141610374242,0.0375622503821311,NA
"775",4131,3546,0.0375622503821311,0.0400118337360091,NA
"776",4131,3561,0.0400118337360091,0.0435244810413688,NA
"777",4131,4129,0.0435244810413688,0.0502342093585129,NA
"778",4131,4131,0.0502342093585129,0.86851338691386,NA
"779",4131,4133,0.86851338691386,0.870444258172674,NA
"780",4131,4138,0.870444258172674,0.881792811005375,NA
"781",4131,4151,0.881792811005375,0.953513140377693,NA
"782",4131,4159,0.953513140377693,0.975719145998718,NA
"783",4131,4161,0.975719145998718,0.978594743848923,NA
"784",4131,4162,0.978594743848923,0.997767368472955,NA
"785",4131,4216,0.997767368472955,1,NA
"786",4132,3539,0,0.00196125390794405,NA
"787",4132,4129,0.00196125390794405,0.017771031697229,NA
"788",4132,4132,0.017771031697229,0.98959176143903,NA
"789",4132,4151,0.98959176143903,0.998054928054993,NA
"790",4132,4159,0.998054928054993,1,NA
"791",4133,3116,0,0.0282662187366576,NA
"792",4133,3416,0.0282662187366576,0.0407181861081773,NA
"793",4133,3539,0.0407181861081773,0.0434596975348869,NA
"794",4133,3543,0.0434596975348869,0.0456984112716568,NA
"795",4133,4133,0.0456984112716568,0.92837239612593,NA
"796",4133,4134,0.92837239612593,0.985581784678996,NA
"797",4133,4138,0.985581784678996,0.989115413136783,NA
"798",4133,4151,0.989115413136783,0.993623738792387,NA
"799",4133,4217,0.993623738792387,1,NA
"800",4134,2436,0,0.042815331010453,NA
"801",4134,3116,0.042815331010453,0.0475659532105525,NA
"802",4134,4134,0.0475659532105525,0.967948232951717,NA
"803",4134,4162,0.967948232951717,1,NA
"804",4135,4135,0,1,NA
"805",4136,2137,0,0.0198234687803957,NA
"806",4136,2317,0.0198234687803957,0.0395380572855422,NA
"807",4136,3131,0.0395380572855422,0.107871318032025,NA
"808",4136,4159,0.107871318032025,0.192660017711191,NA
"809",4136,4162,0.192660017711191,0.255273434664576,NA
"810",4136,4217,0.255273434664576,0.985569734186955,NA
"811",4136,5221,0.985569734186955,1,NA
"812",4137,4162,0,0.0157362246243079,NA
"813",4137,7215,0.0157362246243079,0.906274716583179,NA
"814",4137,7220,0.906274716583179,1,NA
"815",4141,7211,0,0.0365600947306098,NA
"816",4141,7213,0.0365600947306098,0.797315966054865,NA
"817",4141,7220,0.797315966054865,1,NA
"818",4142,7214,0,0.938381170479737,NA
"819",4142,7220,0.938381170479737,1,NA
"820",4150,2317,0,0.00037058551329638,NA
"821",4150,3233,0.00037058551329638,0.000596244917248373,NA
"822",4150,3239,0.000596244917248373,0.000828599277338558,NA
"823",4150,3539,0.000828599277338558,0.00146777067806122,NA
"824",4150,3561,0.00146777067806122,0.00240900274690112,NA
"825",4150,4113,0.00240900274690112,0.00373381642036448,NA
"826",4150,4123,0.00373381642036448,0.00469158896907521,NA
"827",4150,4129,0.00469158896907521,0.0141543187389853,NA
"828",4150,4131,0.0141543187389853,0.0188415756776182,NA
"829",4150,4132,0.0188415756776182,0.0248146580157331,NA
"830",4150,4133,0.0248146580157331,0.0253411966249545,NA
"831",4150,4134,0.0253411966249545,0.0263316563124575,NA
"832",4150,4135,0.0263316563124575,0.028675284781774,NA
"833",4150,4138,0.028675284781774,0.0453299727278993,NA
"834",4150,4151,0.0453299727278993,0.0598603904734712,NA
"835",4150,4159,0.0598603904734712,0.943547342200868,NA
"836",4150,4161,0.943547342200868,0.943932499089289,NA
"837",4150,4162,0.943932499089289,0.983201567407378,NA
"838",4150,4211,0.983201567407378,0.985583002687828,NA
"839",4150,4213,0.985583002687828,0.98640963286042,NA
"840",4150,4216,0.98640963286042,0.990831454479221,NA
"841",4150,4217,0.990831454479221,0.993553938701769,NA
"842",4150,6212,0.993553938701769,0.993772509328634,NA
"843",4150,6219,0.993772509328634,0.994464058915614,NA
"844",4150,7211,0.994464058915614,0.995689235888903,NA
"845",4150,7215,0.995689235888903,0.996375665803542,NA
"846",4150,9219,0.996375665803542,0.996843131270368,NA
"847",4150,9259,0.996843131270368,1,NA
"848",4211,4159,0,0.017710233029382,NA
"849",4211,4211,0.017710233029382,1,NA
"850",4212,4212,0,1,NA
"851",4213,4213,0,1,NA
"852",4214,2429,0,0.00507471102340006,NA
"853",4214,4214,0.00507471102340006,1,NA
"854",4215,4159,0,0.0059028597466909,NA
"855",4215,4215,0.0059028597466909,1,NA
"856",4216,4216,0,1,NA
"857",4217,4162,0,0.0164666093754331,NA
"858",4217,4217,0.0164666093754331,1,NA
"859",5111,5111,0,1,NA
"860",5112,5112,0,1,NA
"861",5113,5113,0,0.854692966856308,NA
"862",5113,5114,0.854692966856308,0.988898829715725,NA
"863",5113,9119,0.988898829715725,1,NA
"864",5119,5111,0,0.0288411349880615,NA
"865",5119,5119,0.0288411349880615,0.805330667999334,NA
"866",5119,6139,0.805330667999334,1,NA
"867",5211,5211,0,1,NA
"868",5212,5212,0,0.877956989247312,NA
"869",5212,5250,0.877956989247312,1,NA
"870",5213,5213,0,0.992414393888628,NA
"871",5213,5250,0.992414393888628,1,NA
"872",5214,5214,0,0.765353432672997,NA
"873",5214,5236,0.765353432672997,0.958421143976396,NA
"874",5214,5250,0.958421143976396,1,NA
"875",5215,5215,0,0.982582947633852,NA
"876",5215,5250,0.982582947633852,1,NA
"877",5216,5216,0,0.954176933471107,NA
"878",5216,5250,0.954176933471107,1,NA
"879",5221,5221,0,0.980573762068796,NA
"880",5221,5250,0.980573762068796,1,NA
"881",5222,5222,0,0.96563735012392,NA
"882",5222,5250,0.96563735012392,1,NA
"883",5223,3113,0,0.011774701880478,NA
"884",5223,5223,0.011774701880478,0.751480996099128,NA
"885",5223,5225,0.751480996099128,0.781099736357287,NA
"886",5223,5231,0.781099736357287,0.786500216846427,NA
"887",5223,5235,0.786500216846427,0.911609378637495,NA
"888",5223,5236,0.911609378637495,0.932423090422006,NA
"889",5223,5237,0.932423090422006,0.950242312587374,NA
"890",5223,5250,0.950242312587374,0.988265476748982,NA
"891",5223,5319,0.988265476748982,0.997391934258308,NA
"892",5223,5449,0.997391934258308,1,NA
"893",5224,5224,0,0.984237176075984,NA
"894",5224,5250,0.984237176075984,1,NA
"895",5231,5231,0,0.972914103427735,NA
"896",5231,5250,0.972914103427735,0.99725814622849,NA
"897",5231,7112,0.99725814622849,0.998175345028198,NA
"898",5231,8135,0.998175345028198,1,NA
"899",5232,5232,0,0.946252838758516,NA
"900",5232,5250,0.946252838758516,1,NA
"901",5233,5231,0,1,NA
"902",5234,5234,0,1,NA
"903",5241,5235,0,0.000665510330600089,NA
"904",5241,5241,0.000665510330600089,0.977975500485604,NA
"905",5241,5250,0.977975500485604,0.998932904976327,NA
"906",5241,5330,0.998932904976327,0.999444616913836,NA
"907",5241,5449,0.999444616913836,1,NA
"908",5242,5242,0,0.993083094661085,NA
"909",5242,5250,0.993083094661085,1,NA
"910",5243,5242,0,0.641279984739377,NA
"911",5243,5249,0.641279984739377,1,NA
"912",5244,5244,0,0.945400740941538,NA
"913",5244,5250,0.945400740941538,1,NA
"914",5245,3132,0,0.136393801231397,NA
"915",5245,5245,0.136393801231397,0.99077066768259,NA
"916",5245,5250,0.99077066768259,1,NA
"917",5249,5225,0,0.00776716713070178,NA
"918",5249,5237,0.00776716713070178,0.0102879186073743,NA
"919",5249,5241,0.0102879186073743,0.0164775832010616,NA
"920",5249,5242,0.0164775832010616,0.0204945226509849,NA
"921",5249,5245,0.0204945226509849,0.0239064817465067,NA
"922",5249,5249,0.0239064817465067,0.998123259868335,NA
"923",5249,5250,0.998123259868335,1,NA
"924",5311,5311,0,0.918461435666719,NA
"925",5311,5319,0.918461435666719,0.986391679101984,NA
"926",5311,5330,0.986391679101984,1,NA
"927",5312,5312,0,0.9865170288175,NA
"928",5312,5330,0.9865170288175,1,NA
"929",5313,5313,0,0.960261844053067,NA
"930",5313,5322,0.960261844053067,0.993268153751766,NA
"931",5313,5330,0.993268153751766,1,NA
"932",5314,5225,0,0.0498646746210035,NA
"933",5314,5314,0.0498646746210035,0.98388977323962,NA
"934",5314,5330,0.98388977323962,1,NA
"935",5315,5236,0,0.0210405247090413,NA
"936",5315,5315,0.0210405247090413,0.96541738996588,NA
"937",5315,5330,0.96541738996588,0.99935651311345,NA
"938",5315,5449,0.99935651311345,1,NA
"939",5316,5316,0,0.986074424208721,NA
"940",5316,5330,0.986074424208721,1,NA
"941",5319,2436,0,0.000666808223719747,NA
"942",5319,5319,0.000666808223719747,0.973458052547468,NA
"943",5319,5330,0.973458052547468,1,NA
"944",5321,5321,0,0.986108238848378,NA
"945",5321,5330,0.986108238848378,1,NA
"946",5322,5322,0,1,NA
"947",5323,5323,0,0.970206628413758,NA
"948",5323,5330,0.970206628413758,0.975555764587841,NA
"949",5323,5449,0.975555764587841,0.998593212721705,NA
"950",5323,9275,0.998593212721705,1,NA
"951",5411,5411,0,1,NA
"952",5412,5412,0,1,NA
"953",5413,5413,0,0.963989250522544,NA
"954",5413,5419,0.963989250522544,1,NA
"955",5414,5414,0,1,NA
"956",5419,5419,0,1,NA
"957",5421,5421,0,1,NA
"958",5422,5422,0,1,NA
"959",5423,5422,0,0.0159071792588195,NA
"960",5423,5423,0.0159071792588195,0.965328286576617,NA
"961",5423,8127,0.965328286576617,1,NA
"962",5424,5422,0,1,NA
"963",5431,5431,0,1,NA
"964",5432,5432,0,1,NA
"965",5433,5433,0,1,NA
"966",5434,5434,0,0.665287620328095,NA
"967",5434,5435,0.665287620328095,0.953152572757066,NA
"968",5434,5436,0.953152572757066,1,NA
"969",5491,5441,0,1,NA
"970",5492,5215,0,0.0032661686072392,NA
"971",5492,5442,0.0032661686072392,1,NA
"972",5493,5449,0,1,NA
"973",5494,5449,0,1,NA
"974",5495,5449,0,1,NA
"975",5496,5443,0,1,NA
"976",5499,5449,0,1,NA
"977",6111,3233,0,0.000849307662592904,NA
"978",6111,6141,0.000849307662592904,1,NA
"979",6112,6142,0,1,NA
"980",6113,6143,0,1,NA
"981",6114,6144,0,1,NA
"982",6115,3231,0,0.00335638315252908,NA
"983",6115,3233,0.00335638315252908,0.0038359637084477,NA
"984",6115,3234,0.0038359637084477,0.00507150481418551,NA
"985",6115,6141,0.00507150481418551,0.0135627014987148,NA
"986",6115,6145,0.0135627014987148,0.891886749553435,NA
"987",6115,6146,0.891886749553435,0.999146693787304,NA
"988",6115,6147,0.999146693787304,1,NA
"989",6121,6121,0,0.989433942814437,NA
